gene	cluster
Nkd2	2
Plec	0
Lama1	2
Il11ra1	4
Vim	6
Nxpe5	0
Fcor	10
Hsph1	0
Itga6	3
Rbpms2	7
St3gal5	1
Met	10
Hcst	5
Ccdc34	8
Melk	8
Esm1	7
Hfe	0
Mir155hg	7
Maged2	2
Ptger4	1
Fhl2	2
Prkg1	2
Nipal1	7
Cd44	6
Mis18bp1	8
Cd247	5
Lmo4	0
Tnfrsf12a	2
Hmgn2	0
Rtl8a	3
Phf11a	1
Myzap	3
Lfng	0
Meis1	2
Cav2	3
Cgnl1	2
Batf3	0
Bicd1	10
Anxa3	0
Fkbp7	2
Klf9	4
Tns1	4
Bcl2a1b	6
Mcf2l	3
Tmem204	3
Lztfl1	0
Cyc1	0
Cdca2	8
Esd	6
Resf1	0
Plk3	1
Acsl5	0
Runx3	0
Kctd12	6
Bhlhe40	0
Ank2	2
Sesn3	2
Cebpa	1
Pcdh18	2
Hmgn1	0
Dok2	0
Alad	10
Fasl	5
Rbfox2	2
Pls3	4
Ptgfrn	2
Gpx7	2
Ssbp3	2
Plk4	8
Dbn1	2
Gimap1os	5
Vkorc1	0
Uaca	3
Pla2g7	0
Mfge8	4
C1qtnf6	2
Rel	0
Spns2	3
Ncapd2	8
Sema6a	3
H1f0	0
Unc45b	3
Plcb1	0
Arl4a	1
Steap3	1
Tmem47	9
Xlr	1
1700120C14Rik	7
Ccne1	8
Pdlim1	3
Plekha6	2
Rasgrp3	3
Ccdc88c	5
Cyp2j9	9
Coro2a	0
Bub1	8
Gbp3	0
Oaf	2
Shcbp1	8
Ezh2	8
Mboat2	9
Selenoi	1
Flnb	4
Galnt6	1
Arrdc3	1
Cyb5r3	0
Tnfsf10	5
Pkd2	2
Casz1	1
Gstp3	5
Arhgap5	0
Csf2rb	0
Podnl1	7
Dennd4a	0
Tspan6	3
Nectin2	10
Cspg4	9
Cdk6	0
Lap3	0
Lbh	0
Csrnp1	0
Trem2	0
Afdn	4
Mfap3l	9
Dcbld1	3
Twsg1	2
Nav2	9
Cited4	7
Ppfibp1	4
Cdc42ep1	3
Slc4a7	0
Kifc1	8
Lst1	6
Isg20	1
Stard8	1
Samhd1	6
Rfc4	1
Hic1	2
Il17re	10
Sorbs1	9
Ncoa4	0
Sbno2	0
Rab7b	1
Epn2	2
Tspan9	3
Cyp4f18	0
Fzd4	3
Ncapg2	8
Fam221a	7
Neo1	2
Tmem132a	10
Dlg2	7
Mpp6	0
Ppp1r15a	0
Gbp7	0
Ppfibp2	10
Adam15	0
Hspb6	7
Exoc3l4	3
Cdc6	7
Hebp1	0
Ncoa7	0
Tmem245	1
Oat	0
St3gal4	0
Tmem8	1
Zcwpw1	7
H2-Q2	7
Abca1	0
Slc26a6	7
Dtx1	7
Pcgf2	7
Trib2	2
Dhrs9	1
Zcchc18	7
Bag2	7
Phldb2	2
Shtn1	0
Nrep	4
Fchsd2	0
Alas1	0
Galm	1
Fam214a	1
Gapdh	6
Ghr	2
AI463229	7
Treml4	1
Rhob	0
Ddt	0
Cass4	1
Creb5	0
Slc46a1	7
Slco2b1	1
Zrsr1	1
Eno1	6
Gmds	1
Apobec2	7
Runx2	5
Itga9	1
Il1rap	1
Rgs7bp	1
Fbxo33	1
Ptafr	0
Gm5547	1
Slc27a4	1
Nol4l	3
Tmcc3	1
Slc16a2	2
Prps1	1
Pygl	0
Il27	7
Gm43305	1
Bex3	0
Ptgs1	0
Nucb2	0
Edil3	9
Thap1	1
Idi1	1
Prelid2	1
Slc15a3	6
Pkp3	5
Sdf4	0
Glipr1	1
Clcn5	0
Cemip2	0
Mif	6
Ctla2b	1
Cd33	1
Ldb2	2
Copz2	2
Msrb3	2
Ifi207	0
Cstb	6
Pglyrp2	5
Gm42047	1
Mns1	8
C5ar1	0
Zfp622	0
Acox1	1
Atxn1	1
Cpox	1
Cd27	5
Ncf1	0
Grina	0
Cpd	0
Klhdc8b	2
G530011O06Rik	7
Ifih1	0
Atpif1	6
Itsn1	0
Cd52	6
Eno3	1
Ldha	6
Zfp703	0
Slc25a4	0
Ipmk	1
Adgre1	0
Mmp25	1
Neurl3	0
Dusp4	7
Metrnl	0
Pparg	2
Adam19	1
Ankrd37	1
Emb	6
Dpep2	1
Siglece	1
Golga3	1
Stard13	9
Trim30c	1
Ttc39c	1
Chst1	3
Hgsnat	1
Nr1h3	1
Dgat2	1
Slc22a23	9
Nrarp	3
Cblb	5
Dcbld2	10
Ddah2	4
Hsp90b1	6
Stk10	1
Tcf7l2	0
Psap	6
Cd22	1
