geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8
Sox13	Gm8618	Itpkb	Gm17511	Thpo	Rnd2	Slc44a4		
Zc3h11a	Gm37677	Gm37033	Gm19366	Masp1	Adam11	Cdx1		
Gm38394	Ube2t	Parp1	Gm4587	Gm10913	Gfap	Vwce		
Atp2b4	Ptprv	Acbd3	Gm19514	Gm6030	C1ql1	A1cf		
Prelp	Gm15445	H3f3a	Gm18258	Pacrg	Mapt	AC117816.1		
Chil1	Gm4204	Sde2	Nkx6-2	Cacna1h	Prkca	Cyp2c55		
Adora1	2610012C04Rik	Cnih4	Gm7380	Gm49741	Abca8b	Cyp2c66		
Ppfia4	Gm37333	Wdr26	Adgra1	Rbx1-ps	Abca8a	Alas2		
Tmem183a	Gm38399	Lbr	Drd4	Lrrc73	Abca6	Rnase1		
Cyb5r1	Tnnt2	Srp9	4930432B10Rik	Nrtn	Dnaic2	Angptl8		
Klhl12	Cacna1s	Degs1	Gm47402	CT025659.3	Itgb4	Cps1		
Rabif	9230116N13Rik	Fbxo28	Gm10335	Mtcl1	Aatk	2010103J01Rik		
Ppp1r12b	Gm37298	Capn2	Gm8355	Tmem200c	Amph	Lrrc19		
Gm37949	Gm37124	Brox	Gm48229	Tmem178	Epdr1	Ugt2a3		
Ptpn7	A130050O07Rik	Aida	Il22ra2	Gm26682	Slc22a23	Plut		
Lmod1	Gm26930	Mia3	Gm7672	Greb1l	Nrn1	Mgam2-ps		
Ipo9	D130019J16Rik	Hlx	Gm10145	Dsc2	Elovl2	Dmbt1		
Csrp1	Gm37534	Marc2	Gm5171	AC126807.1	Nkd2	Hsd17b2		
Phlda3	A430106G13Rik	Iars2	Gm26535	Rit2	Nr2f1	Tinag		
Tmem9	A130071D04Rik	Eprs	Gm8055	Lrrtm2	Edil3	Gm3776		
Camsap2	Gm37080	Angel2	Gm47815	Nrg2	Hapln1	Tmem238l		
Ddx59	Gm37101	Flvcr1	Gm4795	Pcdhgb7	Lhfpl2	Gm21885		
Gm19705	Gm37045	Batf3	Gm18120	Sh3rf2	Pde8b	Dnajc22		
Gm4258	Gm37423	Atf3	Gm5040	Prr16	Fst	Cyp4f40		
2310009B15Rik	Gm37470	Ppp2r5a	Gm6627	4930511M06Rik	Itga2	Ms4a12		
Zbtb41	Gm43544	Lpgat1	Phyhipl	Ctxn3	Greb1	Dipk1b		
Trove2	Gm37718	Slc30a1	4930533K18Rik	Prelid3a	Asap2	Gask1b		
Gm29170	Gm16332	G0s2	Gm46234	Ccdc68	Sh3yl1	Pakap.1		
Rgs18	Gm5837	Cr1l	Gm10146	Mapk4	Sostdc1	Mtss2		
Pla2g4a	Gm5834	Hspa14	Gm8290	Sssca1.1	Ispd	Prxl2a		
Hmcn1	Gm38266	Fam107b	Gm10773	Gm42067	Akap6	Tafa5		
Gm10138	Gm38019	Frmd4a	E230014E18Rik	Gpha2	Acot1	Gm41764		
Trmt1l	Kcnt2	Prpf18	Stab2	Rab11b-ps2	Prima1	Cel		
Rnf2	Gm5835	Phyh	Gm26546	1700018L02Rik	Serpina3n	Cpb1		
Edem3	B3galt2	Camk1d	Slc17a8	Morn4	Itgb8	Cela3b		
Tsen15	Gm7266	Cdc123	Gm15915	AC138790.1	4930556M19Rik	Cela2a		
Colgalt2	Gm15443	Upf2	Gm48372	Abcc2	Adamts12	Ctrc		
Gm28791	Ptgs2os	Celf2	Gm48427	AC132957.1	Cdh6	Pla2g1b		
Lamc1	Ptgs2os2	Atp5c1	Gm33782	Psd	Cdh10	Cpa2		
Npl	Prg4	Rbm17	Gm47628	AC140413.1	Matn2	Cpa1		
Rgs16	Gm37893	Mindy3	Gm36283	Oprk1	Cthrc1	2210010C04Rik		
Mr1	2810414N06Rik	Rsu1	Gm10752	Vwa3b	Deptor	Try4		
Stx6	Nmnat2	Vim	Gm8960	Gm973	Sntb1	Try5		
BC034090	Lamc2	Mrc1	Gm40787	Ankrd45	Has2	Sycn		
Qsox1	Gm38009	Plxdc2	Gm9081	Klhdc9	Arhgap39	Gp2		
Gm2000	Gm8818	Mllt10	4930503E24Rik	Gm37086	Tst	Ctrl		
Gm10031	E330020D12Rik	Dnajc1	Gm47862	Gm10862	Sox10	Ctrb1		
Abl2	Shcbp1l	Commd3	Gm15900	Gm37766	Gm10863	Clps		
Fam20b	Rgsl1	Pip4k2a	Rps23-ps2	Gm38273	Syngr1	Tff2		
Rasal2	Teddm2	Apbb1ip	Gm16589	Gm13446	Mgat3	Pnlip		
Gm37060	Gm29291	Abi1	Gm1840	Lrp1b	Chadl	Pnliprp1		
2810025M15Rik	Gm9530	Acbd5	3930402G23Rik	Mir670hg	Fam19a5	Pnliprp2		
Cryzl2	Gm5532	Yme1l1	Gm7676	BB218582	Kif21a	Flacc1		
6720464F23Rik	Gm37383	Il1rn	Dlgap2	Nrsn2	Slc2a13	Gal3st2		
Zbtb37	Gm9694	Mrpl41	Gm6689	Defb45	Tmem117	Amy2a5		
Dars2	9430034N14Rik	Tubb4b	Gm8100	Vstm2l	Dhh	Amy2a4		
Cenpl	Gm38043	Ssna1	Gapdh-ps14	Snhg11	4930578M01Rik	Amy2a2		
Klhl20	Gm28693	Edf1	Smarce1-ps1	Gm14769	Serpind1	Myorg		
Pigc	Gm37802	Phpt1	Gm10313	Grpr	Arvcf	Sowahb		
Dnm3	Gm37943	Rabl6	Gm7432	Asb11	P3h2	Try10		
Dnm3os	Gm37788	Bmyc	Gm45345	Gm19817	Gm26569	Prss3		
Vamp4	Sec16b	Notch1	Gm15356	Sptssb	Apod	Gm10334		
Fmo1	Gm37115	Rpl7a	Gm35572	Efna3	Igsf11	Reg3d		
Fmo2	4933417C20Rik	Surf4	Cib3	Gm42939	Gap43	Reg2		
Prrx1	9430087J23Rik	Brd3	Gm3835	Lrrc39	Vgll3	Erp27		
Gorab	Gm37215	Olfm1	Gm5909	Gm42940	Cadm2	Smim31		
Kifap3	Gm38302	Ralgds	Gm17999	4930570G19Rik	Ncam2	Tmed6		
Scyl3	Gm38329	Setx	1700122E12Rik	Gm42946	Adamts5	Rdh16f2		
Mettl18	Gm38126	Sptan1	9430002A10Rik	Gm42942	Eva1c	Pdia2		
Selp	Gm37052	Set	Gm5356	Gm42943	Flywch2	Gm9926		
F5	Gm37809	Ptpa	4831440D22Rik	Gm43528	Sox8	9130016M20Rik		
Slc19a2	Gm37653	Tor1b	Gm45472	Gm43527	2810468N07Rik	Mptx1		
Ccdc181	Serpinc1	Tor1a	Slc12a3	Frmpd1	Metrn	Pax8		
Blzf1	Mettl13	BC005624	Esrp2	Igfbpl1	Arhgdig	Hsd3b3		
Nme7	Rpsa-ps1	Fnbp1	Rps18-ps3	Gabbr2	Egfl8	Acnat1		
Dpt	Gm16548	Gpr107	Gm21399	Pakap	C4b	Agmat		
Gm38190	Gpr161	Ass1	Gm49355	Ptch2	Ly6g6d	Fgfbp1		
Dcaf6	Gm37860	Abl1	Gm5457	Nr0b2	Cyp39a1	Ces1e		
Mpzl1	Gm16565	Prrc2b	Rpl19-ps4	Grhl3	Rcan2	Gsta2		
Rcsd1	Ildr2	Swi5	Gm18078	Gm42675	Kcnh8	Gm11437		
Pou2f1	Gm15853	1110008P14Rik	A430057M04Rik	Gm9899	Dlgap1	Ccl28		
Tada1	Gm16701.1	Dpm2	Gm10248	Dok7	Fzd8	Clic6		
Pogk	Lrrc52	St6galnac4	9930004E17Rik	Nkx3-2	Ankrd29	Ms4a18		
Pbx1	Gm6345	Cdk9	Gm8317	Gm42919	Kctd1			
Gm37524	Sh2d1b1	Fam129b	Gm48933	Gm43320	Cdh2			
Gm38381	Gm7694	Rpl12	Gm49310	Gm10048	Dtna			
Rgs5	Nos1ap	Mapkap1	Gm3534	Gm43318	Gfra3			
Rgs4	Gm7299	Gapvd1	Trdv2-2	Gm43341	Ppp2r2b			
Hsd17b7	Gm26620	Hspa5	Atp12a	Gm43046	Stk32a			
Ddr2	Gm2962	Fbxw2	3110083C13Rik	Gm42769	March3			
Uap1	Gm38204	Cntrl	Gm9013	Gm42614	Megf10			
Olfml2b	Gm10522	Rab14	Rps2-ps6	Gm43605	Apcdd1			
Dusp12	Cfap126	Gsn	1700108F19Rik	Mapk10	Gal			
Fcrlb	Mpz	Stom	Gm10132	Gm10401	AC109619.1			
Fcrla	Nr1i3	Ndufa8	Gm6201	Tmem132b	Flrt1			
Tomm40l	Rpl27-ps1	Ptgs1	Rpl19-ps5	Fzd9	Asrgl1			
Adamts4	Gm37154	Rc3h2	Gm16379	Col26a1	Fads2			
Ppox	Itln1	Rabgap1	Gm48856	9530056K15Rik	Fads1			
Usp21	A630035G10Rik	Dennd1a	Olfr77	Kl	Dagla			
Gm20045	Gm37010	Psmb7	Gm39302	Gm43924	AC132148.1			
Dedd	Gm10521	Rpl35	Gm6607	Gm43843	Plce1			
Nit1	Gm37065	Arpc5l	Gm48362	Tmem178b	Sorbs1			
Nectin4	Gm38164	Ppp6c	Tpt1-ps5	Npvf	Sfrp5			
Usf1	Gm37756	Arhgap15	Trim29	Ctnna2	Crtac1			
F11r	Igsf9	Zeb2	Gm8959	6330415B21Rik	Sorcs1			
Alyref2	Gm37125	Zeb2os	Gm7589	Gm44435	Gfra1			
Cd244a	Cfap45	Orc4	Gm20275	Gm44235	Slc18a2			
Ly9	4933439K11Rik	Epc2	9230112J17Rik	Fbxo41	Gm36988			
Vangl2	Fcrl6	Rnd3	Gm33699	Fam19a1	Dbh			
Ncstn	Gm18445	Nmi	Gm47240	Gm44167	C130021I20Rik			
Pex19	Olfr433	Rif1	Gm18541	Gm43126	Gm13403			
Igsf8	Opn3	Arl5a	Khdc3	Gm28523	Egfem1			
Atp1a2	Rbm8a2	Fmnl2	Gm19569	Gm44257	Gm19445			
Pigm	3110062G12Rik	Prpf40a	Ooep	Cacng8	Mab21l1			
Dusp23	Gm38104	Nr4a2	4930429F24Rik	Hrc	Gm11816			
Aim2	Gm37246	Cytip	Htr1b	Abcc6	E130114P18Rik			
Ifi206	Gm37490	Baz2b	4933400C23Rik	Kcnj11	Tbx3os1			
Ifi214	Gm37519	March7	Gm29395	Abcc8	Cfap100			
Ifi213	Gm37960	Cd302	C430002N11Rik	Gm38393	Vmn1r181			
Ifi208	Gm37106	Rbms1	Gm26767	Sv2b	Gm45768			
Ifi203-ps	Gm37598	Tank	Nme9	Pdzd9	Klk13			
Kmo	Gm38146	Psmd14	1300017J02Rik	Gm44623	Tub			
Chml	Gm37706	Ifih1	Gm37649	Shank2	Gm36356			
Sdccag8	Gm16585	Cers6	Gm38032	9030612E09Rik	A230081H15Rik			
Akt3	Catspere2	Ppig	Gm7436	Gm48270	C030006N10Rik			
Zbtb18	Gm37486	Ssb	Dock3	Gm36595	Gm47702			
Efcab2	B230369F24Rik	Ubr3	Camkv	Mypn	Gm47624			
Smyd3	Gm38300	Gorasp2	Camp	Ctnna3	Gm47623			
Tfb2m	Kif26b	Tlk1	Gm43622	Nxph4	Dusp26			
Cnst	Gm5561	Dync1i2	Tdgf1	Got1l1	Chst5			
Sccpdh	Gm37070	Sp3	Gm7183	Trmt9b	Hepacam			
Cdc42bpa	Coq8a	Ola1	Gm34425	Cldn22	Kcnj12			
Psen2	Gm5069	Cir1	Gm47097	Gm32842	Slc13a5			
Stum	Gm37390	Wipf1	Gm47112	Gm43263	Gm12349			
Lin9	Gm36933	Atf2	9530059O14Rik	Tmem59l	Fgfr4			
Pycr2	Gm8101	Atp5g3	AC165425.1	Ccnb2-ps	C130071C03Rik			
Lefty1	Gm17275	Lnpk	Abca13	Gm38590	Acot5			
Tmem63a	H3f3aos	Mtx2	Gm12003	Gm26721	Adamts20			
Ephx1	A430110L20Rik	Hnrnpa3	Gm12011	Irx5	4632428C04Rik			
Nvl	Gm38359	Nfe2l2	Gm12020	Tepp	Ly6g6f			
Enah	Gm37258	Agps	Rpl15-ps1	Lcat	Mog			
Trp53bp2	Gm10517	Plekha3	Rpsa-ps5	Fam92b	Kcnn2			
Disp1	Susd4	Ube2e3	Gm12098	Gm46447	Minar2			
Taf1a	Gm37542	Itga4	Anp32-ps	Gm4131	St8sia5			
Dusp10	Tlr5	Itprid2	4930403D09Rik	Pcdh20	Aldh1a7			
C130074G19Rik	Gm38079	Dnajc10	Gm12123	Elavl3	Lgi1			
Mark1	BC085271	Zc3h15	Gm12182	Abcg4	Col9a2			
Rab3gap2	Gm37214	Itgav	Gm12193	Gm38192	Gm36001			
Bpnt1	Gm33973	Ctnnd1	Gm12194	Paqr9				
Tgfb2	1700056E22Rik	Zdhhc5	Rps2-ps4	Col6a4				
Rrp15	Gm37800	Timm10	Gm12222	Acaa1b				
Gpatch2	Rpl21-ps1	Ssrp1	Slc36a3	A530083I20Rik				
Kctd3	Gm38358	Ptprj	Rps13-ps5	4933415A04Rik				
Ptpn14	Gm34342	Mtch2	Gm12311	Gria1				
Smyd2	4930532G15Rik	Ndufs3	Ggt6	Obscn				
Prox1	Lyplal1	Ptpmt1	Rps12-ps19	Gm12276				
Rps6kc1	A430105J06Rik	Celf1	Dph1	Glp2r				
Tatdn3	Gm37254	Psmc3	Gm11196	C78197				
Nsl1	Pdcd5-ps	Spi1	Omg	Efnb3				
D730003I15Rik	Gm37168	Acp2	Rab11fip4os1	Nog				
Nenf	1700034H15Rik	Arfgap2	Gm11633	Tcap				
Tmem206	Gm26670	Ckap5	Krt15	Npb				
Ints7	Gm26879	Arhgap1	Krt17	Fn3k				
Gm37349	Hhat	Dgkz	Gm47315	Pou6f2				
Traf5	Gm22265	Phf21a	Gm11675	9330162012Rik				
Gstp-ps	Irf6	Cd82	Gm11699	Stmnd1				
Rcor3	4930570N18Rik	Ext2	Gm11724	1700099I09Rik				
Sertad4	Lamb3	Hsd17b12	Dnah17	Hspb3				
Gm15867	Gm37691	Api5	Card14	A430090L17Rik				
Diexf	Gm37334	Trim44	Gm3807	Pfn4				
A130010J15Rik	9630010A21Rik	Cd44	Gm47507	Kcnf1				
Hsd11b1	Cd46	Cat	Gm48574	Alkal2				
Plxna2	Gm37132	Caprin1	Gm5445	Cdkl1				
Cd34	Meig1	Lmo2	Hist1h1t	4930447C04Rik				
A330023F24Rik	Cdnf	Fbxo3	Gm11342	Slc8a3				
Fam171a1	Gm13186	Hipk3	Gm30918	Dpf3				
Nmt2	Gm13216	Cstf3	Gm9817	Tshr				
Rpp38	Dhtkd1	Eif3m	A830005F24Rik	Gm22299				
Dclre1c	Proser2	Immp1l	Gm7251	Adgrb1				
Gm45902	Gm13391	Lin7c	Gm10784	Gm21897				
Bend7	Gm10855	Nop10	Gm2830	Gm45338				
Sephs1	9230102O04Rik	Slc12a6	Rslcan18	Fgf12				
Optn	C630004M23Rik	Emc4	Gm36377	Cpne5				
Nudt5	Gm36932	Emc7	9330111N05Rik	Spats1				
Sec61a2	Gm37851	Aqr	Gm2076	Tmem151b				
Echdc3	Gm13293	Spred1	Gm6109	Shd				
Usp6nl	Gm37730	Fam98b	Gm8756	Fhod3				
Gm10115	Gm13292	Rasgrp1	Gm35279	Syt4				
Taf3	Gm37975	Thbs1	Rpl31-ps13	BC037039				
Kin	Gm37881	Srp14	Gm22118	Ccdc192				
Sfmbt2	Gm37289	Chp1	Dnmt3aos	Cidea				
Pfkfb3	Gm37255	1700020I14Rik	Gm38407	Mro				
Il15ra	Gm38014	Rtf1	Gm48557	Rorb				
Fbh1	Gm38156	Mga	Gm49760	Gm22714				
Ankrd16	Gm37780	Ehd4	Gm46344	Gm17203				
Itga8	Gm13270	Zfp106	Gm18025	Gm38228				
Pter	Stamos	Snap23	Lsmem1	Gm27184				
Trdmt1	Slc39a12	Ubr1	Gm7476	Ren1				
St8sia6	2900092N22Rik	Ccndbp1	Rps11-ps4	Vsig8				
Hacd1	Gm10848	Pdia3	Gm38103	Gm37986				
Stam	Gm37437	Serf2	Gm18113	Spata17				
Cacnb2	Gm37891	Hypk	Gm7986	Tmem74b				
Gm13268	Gm36930	Ctdspl2	Gm17195	Gm1848				
Nsun6	Gm38257	Eif3j1	Gm26571	Arhgap36				
Arl5b	A930004D18Rik	B2m	Gm33312	Gm22435				
Bmi1	Gm13349	Gatm	Gm2099	Tmsb15b2				
Armc3	4930426L09Rik	AA467197	Gm8378	Gm15013				
Msrb2	Gm13375	Slc30a4	Gm10433	Rnf138rt1				
Otud1	Gm13378	Sqor	Serpina3h	Gm5103				
Etl4	Gm13422	Myef2	Gm48632	6530403H02Rik				
Arhgap21	Gm13331	Eid1	Gm9238	Gm26691				
Enkur	Il1f9	Secisbp2l	Macc1	Gpr63				
Thnsl1	Cacna1b	Cops2	Tmem196	Gm13302				
Gm13341	Gm37139	Usp8	Gm49249	Zkscan16				
Gm13340	Entpd8	Trpm7	Gm6576	Rimkla				
Pdss1	Rnf208	Sppl2a	Gm48965	Nt5c1a				
Spopl	AA543186	Blvra	Rps19-ps5	Gm12925				
Hnmt	Fut7	Snrnp200	Gm9522	Tmem200b				
Psd4	Clic3	Tmem127	Gm9658	Fam131c				
Ehmt1	Ptgds	Stard7	Gm20732	Lrrd1				
Arrdc1	C8g	Mrps5	Gm7908	Gm15614				
Zmynd19	Ccdc187	Mtln	Lypd2	9430085M18Rik				
Dph7	Gm13563	Bcl2l11	K230010J24Rik	A430073D23Rik				
Pnpla7	0610009E02Rik	Anapc1	Apol6	Gm20485				
Nsmf	Lcn4	Mertk	Apol11a	Gm20635				
Nrarp	Adamtsl2	Il1b	Apol11b	Gm44731				
Tor4a	Sardh	Sirpa	Gm49544	C530044C16Rik				
Nelfb	Gm25541	Snrpb	Tdg-ps	B230319C09Rik				
Ndor1	Gm13421	Nop56	Gm26513	1700124L16Rik				
Tmem203	Ppp1r26	Idh3b	Gm6979	Gm10010				
Tprn	1700007K13Rik	Ptpra	Gm8973	Slco1c1				
Anapc2	Rpsa-ps9	Mrps26	Gm15539	Gm9801				
Man1b1	Gbgt1	Ddrgk1	Gm15537	Gm26793				
Dpp7	Gfi1b	Cenpb	Gm20082	Gm48092				
Uap1l1	Spaca9	Rassf2	Rps2-ps7	Gm16105				
Npdc1	Ak8	Pcna	Gm15798	Ppfia2				
Abca2	Cfap77	Gpcpd1	A930003A15Rik	Tgfbr3l				
Paxx	Gm13394	Bmp2	Gm46544	Slc5a5				
Fbxw5	Ntng2	Tmx4	Gm5962	Gm45428				
Traf2	2600006K01Rik	Esf1	Gm6630	Ccdc113				
Tmem141	Kyat1	Snrpb2	Gm6029	Gm17344				
Fcna	1700084E18Rik	Dstn	Gm4600	Gm32352				
Camsap1	Phyhd1	Rrbp1	Gm21987	Gm49032				
Ubac1	Cstad	Snx5	Cd200r3	Gm38163				
Nacc2	Gm14488	Sec23b	Gm5485	Slc22a13b-ps				
Tmem250-ps	Prrx2	Rin2	Tmprss15	Efcab9				
Qsox2	Qrfp	Naa20	Rps19-ps12	Gm11520				
Gpsm1	Lamc3	Crnkl1	Gm7860	Gm48888				
Dnlz	Aif1l	Xrn2	Gm6363	Gm45623				
Card9	Gm13611	Cst3	Gm41505	Gm5454				
Snapc4	Gm13413	Abhd12	1600002D24Rik	1700081N11Rik				
Entr1	Gm13523	Nsfl1c	Gm15599	Gsc				
Pmpca	Gm38299	Fkbp1a	Gm22774	Gm35558.1				
Inpp5e	Gm13528	Csnk2a1	Gm15590	Klhl38				
Sec16a	Gm13408	Tbc1d20	AC164314.1	Lrrc24				
Egfl7	Hc	Rbck1	Gm17087	Gm3924				
Agpat2	Gm43128	H13	Gm15946	Gm21178				
Fam69b	Gm43761	Bcl2l1	AC154544.1	AC114990.1				
Surf6	Morn5	Pdrg1	CT009755.1	Gm3145				
Med22	Gm13431	Hck	Ccdc154	Prr22				
Surf1	Gm13436	Tm9sf4	Gm5430	L3mbtl4				
Surf2	Gpr21	Kif3b	Gm10505	Arhgef33				
Rexo4	Crb2	Commd7	AC132460.2	Gtf2a1l				
Cacfd1	Gm44283	Mapre1	AC167363.2	AC161519.2				
Slc2a6	Gm44443	Chmp4b	AC163629.2	Pcdhgb8				
Vav2	Gm44291	Raly	AC132481.2	Prdm6				
Brd3os	Gm35808	Eif2s2	AC165962.4	Majin				
Wdr5	Gm13586	Itch	Pdxk-ps	AC137853.1				
Rxra	Nr6a1	Dynlrb1	CR974462.6					
Col5a1	Gm44144	Trpc4ap	Btnl7-ps					
Mrps2	5730507A11Rik	Eif6	4833427F10Rik					
Gtf3c5	Wdr38	Ergic3	H2-M5					
Tsc1	Gm16523	Romo1	Adgrf4					
Gtf3c4	Gm44027	Rbm39	AC117257.1					
Ddx31	Gm13453	Phf20	1600014C23Rik					
Ttf1	Gm13456	Scand1	Gm6934					
6530402F18Rik	Gm13479	2900097C17Rik	Mrps36-ps1					
Med27	Gm13470	Dlgap4	Gm16712					
Rapgef1	Gm13509	Rab5if	AC100724.1					
Trub2	Kif5c	Samhd1	Gm6548					
Coq4	Gm13525	Rpn2	Cdkl4					
Slc27a4	Lypd6b	Manbal	AC134555.1					
Urm1	A430018G15Rik	Tgm2	AC132455.2					
Cercam	A930012O16Rik	Mafb	Gm4832					
Odf2	Gm13535	Top1	Gm18665					
Gle1	Gm13532	Chd6	AC148013.1					
Wdr34	Gm13546	Srsf6	Gm17430					
Pkn3	Gm13545	Oser1	Gm26407					
Zdhhc12	Ccdc148	Serinc3	Gm7670					
Zer1	Gm13570	Pkig	B930094E09Rik					
Tbc1d13	Gm13573	Ywhab	AC115117.1					
Endog	Ly75	Tomm34	2010110K18Rik					
Spout1	Dpp4	Stk4	AC115631.1					
Lrrc8a	Galnt3	Slpi	AC134458.1					
Dolk	Gm13604	Sdc4	Gm8731					
Nup188	Gm37159	Sys1	Il17b					
Sh3glb2	Gm38236	Pigt	AC157910.5					
Miga2	Gm37651	Ctsa	AC157784.1					
Dolpp1	Gm37747	Pltp	Gm14328					
Crat	Gm37666	Pcif1	Tesmin					
Ier5l	Gm38377	Mmp9	Syt12					
Ntmt1	Lrp2	Cd40	AC122861.1					
Asb6	Gm13622	Elmo2	Slc22a20					
Ptges	Gm13623	Zmynd8	Gm28347					
Usp20	Gm13625	Ncoa3	AC133509.1					
D330023K18Rik	Mettl5os	Sulf2	Trpm6					
Ncs1	Erich2	Prex1	C730002L08Rik					
Hmcn2	Gm13641	Ddx27	Gm8825					
Fubp3	Gm13665	Znfx1	AC125381.2					
Exosc2	Mrpl23-ps1	B4galt5	AC102119.1					
Nup214	Hoxd3os1	Rnf114	Cyp26a1					
Fam78a	Rps6-ps4	Tmem189	Gm16470					
Plpp7	Gm13653	Cebpb	Gm6776					
Pomt1	E030042O20Rik	Ptpn1	Cpn1					
Uck1	Ttc30a1	Dpm1	Fgf8					
Golga2	Gm13650	Zfp217	Gm15491					
Dnm1	Cerkl	Pfdn4	Gm17150					
Ciz1	Gm13680	Rtf2	Rps12-ps3					
Lcn2	Gm13710	Gm14303	Spry3					
Ptges2	Gm19426	Rae1	Xkr9					
Slc25a25	Gm13713	Zbp1	Gm37936					
Naif1	Lrrc55	Rab22a	Kcnj9					
Fam102a	4933423P22Rik	Vapb	Cutal					
St6galnac6	Rpl30-ps3	Stx16	Sp5					
Ak1	Agbl2	Gnas	Zcchc12					
Eng	Rapsn	Ctsz	Gpr165					
Fpgs	Mybpc3	Atp5e	Ptchd1					
Sh2d3c	A330069E16Rik	Prelid3b	Gm38001					
Tor2a	Gm13771	Psma7	1600017P15Rik					
Ptrh1	Zfp408	Adrm1	Gm38000					
Stxbp1	Gm13786	Rps21	Npy2r					
Lrsam1	Gm13785	Ogfr	Kcnc4					
Slc2a8	Large2	Dido1	Slc6a17					
Garnl3	1700029I15Rik	Gid8	Gm43526					
Ralgps1	Gm13815	Ythdf1	Atp8b5					
Angptl2	Gm10800	Ppdpf	Hgfac					
Zbtb34	Gm13868	Arfrp1	Gm43829					
Zbtb43	Pamr1	Tpd52l2	C030015E24Rik					
Mvb12b	Slc1a2	Dnajc5	Gm42768					
Pbx3	Gm13875	Prpf6	Gm42770					
Rabepk	Cd59b	Rgs19	Gm43048					
Psmd5	Wt1os	Pcmtd2	Kctd8					
Ggta1	Gm27538	Clcn5	Gm43789					
Dab2ip	Wt1	Plp2	D430018E03Rik					
Rbm18	Gm13910	Tfe3	Gm44433					
Mrrf	Kif18a	Gripap1	Gm44438					
Pdcl	Bbox1	Otud5	Tacr1					
Zbtb6	G630016G05Rik	Timm17b	Gm45038					
Zbtb26	D330050G23Rik	Was	Gm10152					
Strbp	Gm29340	Rbm3	Gm40773					
Nek6	Gm13986	Ebp	Hsd17b6					
Golga1	Gpr176	Cybb	Atp7b					
Scai	Pak6	Dynlt3	Nefl					
Kynu	Gm14091	Mid1ip1	Gm37249					
Gtdc1	Rpusd2	Atp6ap2	Myadml2					
Acvr2a	Gm14138	Usp9x	Adarb2					
Mbd5	Spint1	Ddx3x	Gm47004					
Mmadhc	Rhov	Gpr34	Gm48713					
Rbm43	Gm14207	Fundc1	Gm48415					
Cacnb4	Chac1	Rp2	Gm47457					
Stam2	Exd1	Ndufb11	Esrrb					
Arl6ip6	Itpka	Uba1	2210009P08Rik					
Rprm	Jmjd7	Araf	Slc22a1					
Gpd2	Gm26899	Timp1	Vmn2r97					
Acvr1	AV039307	Cfp	Tpsg1					
Upp2	Ckmt1	Dock11	CT573017.2					
Pkp4	Catsper2	Il13ra1	Kctd16					
Tanc1	Gm14017	Pgrmc1	AC132357.1					
Wdsub1	Frmd5	Slc25a5	AC125059.4					
Pla2r1	Rps12-ps10	Ube2a	Naaladl1					
Fap	Duoxa2	Rpl39	Scd4					
Gca	Gm14085	Nkap	Gm37143					
Cobll1	Spata5l1	Ndufa1	Slco5a1					
Scn3a	Bloc1s6os	Lamp2	Gm37138					
Scn2a	Gm9913	Mcts1	Gm38110					
Ttc21b	Fgf7	Thoc2	Gm28320					
Stk39	Slc27a2	Xiap	Satb2					
Nostrin	Gm27003	Stag2	Gm11578					
Dhrs9	Gm10766	Utp14a	Gm4208					
Bbs5	Zfp661	Elf4	Gm37755					
Fastkd1	Acoxl	Rap2c	Prkag3					
Ccdc173	Gm14005	Hprt	Gm29539					
Phospho2	Gm14010	Htatsf1	Cdk5r2					
Klhl23	Gm14029	Arhgef6	1700016L21Rik					
Mettl5	Gm4430.1	Fmr1	A030005L19Rik					
Mettl8	Gm14023	Ids	Gm21972					
Dcaf17	Gm14039	Vma21	Ecel1					
Cybrd1	Il1bos	Cetn2	Ugt1a6b					
Slc25a12	Spcs2-ps	Bcap31	Gm7785					
Hat1	Ebf4	Idh3g	Gm7867					
Metap1d	Gm14044	Ssr4	Gal3st2c					
Itga6	Fastkd5	Naa10	Cd55b					
Pdk1	Lzts3	Hcfc1	Gm16083					
Rapgef4	Slc4a11	Irak1	Gm28857					
Map3k20	A730017L22Rik	Mecp2	Klhdc8a					
Sp3os	Gm14049	Flna	Mybph					
Scrn3	Adam33	Emd	Gm4788					
Gpr155	Snrpert	Rpl10	Cfhr2					
Chrna1os	AV099323	Atp6ap1	Gm38304					
Chn1	Mcm8	Gdi1	Gm20743					
Hoxd8	Lrrn4	Fam50a	Gm37748					
Hoxd4	Gm14094	Lage3	Pld5					
Ttc30b	Gm14056	Ubl4a	Gm37768					
Rbm45	Gm11645	Dkc1	Esrrg					
Osbpl6	Bfsp1	Mpp1	Gm2272					
Prkra	Gm11686	Fundc2	Gm10516					
Fkbp7	Gm11688	Vbp1	4631405K08Rik					
Ccdc141	Ovol2	Tbl1x	Gm38348					
Sestd1	Gm14117	Prkx	Noxa1					
Zfp385b	Gm21994	Gk	1810012K08Rik					
Cwc22	3300002I08Rik	Zfx	Fam163b					
Pde1a	Gm10130	Eif2s3x	Slc39a1-ps					
Nckap1	Gm14121	Msn	Gm14471					
