geneCluster_0	geneCluster_1	geneCluster_2	geneCluster_3	geneCluster_4	geneCluster_5	geneCluster_6	geneCluster_7	geneCluster_8
Atg16l1	Gm37967	Tpr	Gm6450	Gm27017	Adgrg6	Prss32	Hist1h1b	Tcrg-C2
Sag	Gm37017	Ivns1abp	Gm19620	Pcdh17	Arfgef3	4930539E08Rik	Hist1h3i	Trgv2
Gm38365	Gm37447	Swt1	Gm43273	Gm5854	Ccn2	Tff3	Hist1h2an	Tcrg-C4
Usp40	4833421G17Rik	Fam129a	Gm8258	Vstm5	9330159F19Rik	Btnl1	Hist1h2ap	Gfod1
Sh3bp4	Ugt1a7c	1700025G04Rik	Gm5870	Angptl6	Hey2	H2-T3	Hist1h2br	Ctla2b
Gm37297	Ugt1a6a	Rgl1	Gm43365	Gm6581	Nkain2	Trim31	Hist1h2bj	Gzma
Ackr3	Ugt1a5	Arpc5	Gm43759	Igsf9b	Armc2	Ubd	Hist1h4h	Gzmk
Col6a3	Dnajb3	Ncf2	Srrm4	Tmem25	Grik2	Slc3a1	Hist1h2af	Gm36723
Ramp1	Mroh2a	Smg7	Gm15727	Arhgap20	Slc35f1	Mep1b	Hist1h3f	Gpr68
Scly	Gm29336	Dhx9	Tmem116	Tln2	Gm47621	Myo7b	Hist1h1d	Asb2
Hes6	Gm28499	Rnasel	Gm38102	Fam81a	Fabp7	Spink1	Hist1h3e	Bcl11b
Per2	Gm37521	Glul	Gm16001	Gm8116	Tspan15	Onecut2	Hist1h2ae	Il7r
Traf3ip1	D130058E05Rik	Ier5	Gm15921	Gm26461	Ank3	2010003K11Rik	Hist1h2bg	Dgat1
Asb1	Rab17	Xpr1	Gal3st4	Pls1	S100b	Cst6	Hist1h3d	Apol7e
Gpc1	Gm7776	Acbd6	Grifin	Gm10123	Col18a1	Ovol1	Hist1h2ac	Il2rb
Ankmy1	Twist2	Cep350	Gm43267	Bfsp2	Hcn2	Ms4a10	Hist1h3c	Grap2
Dusp28	Gm26720	Tor1aip1	Gm8615	4930524O07Rik	Plppr3	Cyp2c65	Gm11336	Nlrc3
Capn10	Otos	Tor1aip2	Gm29264	D830035M03Rik	Reep6	Sema4g	Hist1h2bb	Cd200r4
Kif1a	5033417F24Rik	Soat1	Gm42573	Hhatl	Gng7	Slc9a2	Hist1h2ab	Plcxd2
Sned1	9430060I03Rik	Tor3a	Gm8927	Gm10052	Aldh1l2	Ihh	Hist1h3b	Cd96
Mterf4	Gm17415	Ralgps2	Stra8	Mtfp1	Fbxo7	Resp18	Hist1h4a	Sytl3
Sept2	BC055308	Cop1	Gm43479	Rasl10a	Ntn4	Vash2	Hist1h3a	Dnah8
Farp2	Gm15427	4930523C07Rik	Gm10244	Gm11973	Kcnmb4	Malrd1	Hist1h1a	Ubash3a
Stk25	Gm37642	Mrps14	9430018G01Rik	Gm12059	Srgap1	Chn1os3	Gmnn	Rasal3
Bok	Gm37140	Cacybp	Gm6443	Gm12122	Erbb3	Chgb	Cenpp	Pglyrp2
Thap4	Gm3531	Rabgap1l	9130019P16Rik	Hspd1-ps3	Csmd1	Snap25	Hist1h2al	Prrt1
Atg4b	1810006J02Rik	Rc3h1	Gm6794	Zfp879	Zdhhc2	Gdap1l1	Cks2	Ltb
Ing5	Gm28187	Gas5	Gm29848	Zfp454	Hand2os1	Otc	Mxd3	Runx2
D2hgdh	Gm3608	Prdx6	Rpl19-ps9	2010001A14Rik	Hand2	Aadac	Trip13	Satb1
D1Ertd622e	Gm28404	Suco	Gm38832	Hand1	Scrg1	Rab25	Dhfr	Gm19585
Ppip5k2	Gm20302	Prrc2c	Gm17034	Gm12286	Gpt2	Celf3	Cenph	Camk4
Gin1	Gm37566	Sell	Slc4a5	Hes7	Mmp15	Gstm3	Ccnb1	Cd226
Pam	Gm38235	Sft2d2	Gm5312	Slc2a4	Il34	5330417C22Rik	Cenpk	Ptprcap
B230216N24Rik	Serpinb5	Tiprl	Npm3-ps1	6330403K07Rik	Tubb3	Gimd1	Gen1	Tbc1d10c
Rnf152	Gm6028	Mpc2	Trh	Pitpnm3	Fam89a	Tspan1	Rrm2	Ctsw
Pign	Tfcp2l1	Creg1	Gm5881	4732414G09Rik	Rarb	2610528J11Rik	Fancm	Cd5
Tnfrsf11a	Inhbb	Uck2	Gm19726	C030037D09Rik	Kcnk5	Guca2a	Mis18bp1	Cd6
Gm7160	Gm37219	Tmco1	Gm44040	Tmem100	Gm9780	Cwh43	Tedc1	Ms4a4b
Phlpp1	Gm37745	Aldh9a1	Gm5578	Stac2	Ankrd28	Ugt2b5	D430020J02Rik	Gm49980
Kdsr	Marco	Uhmk1	Cidec	Gm12355	Ndrg2	Cldn4	Ncapg2	
Serpinb2	Gm37174	Atf6	Olfr212	Wnk4	Cmtm5	Cdx2	Dscc1	
Serpinb10	Gpr39	Fcgr2b	Gm44260	Etv4	Jph4	Gm23346	Atad2	
Serpinb8	Nckap5	Fcgr4	Dppa3	2810410L24Rik	Fzd3	Reg3a	Tonsl	
Dsel	Gm37772	Fcgr3	Gm5883	Fscn2	Gfra2	Lrrn1	Cenpm	
Clasp1	Gm37510	Sdhc	C1rb	Gm47882	Pcdh9	Syt5	Gtse1	
2900060B14Rik	Gm8451	Fcer1g	C1s2	Gm5446	Ednrb	Cd79a	Troap	
Gli2	Tmem163	Ndufs2	Lpar5	Dsp	Slitrk6	Fam83e	Racgap1	
Tmem185b	2900009J06Rik	B4galt3	Tmem52b	Rbm24	Slitrk5	Sez6l2	Cdc45	
Epb41l5	Gm38248	Ufc1	Klrc3	Wnk2	Endod1	Sct	Rfc4	
Ptpn4	Rpl28-ps1	Pfdn2	1700051K13Rik	Nxnl2	Fez1	Iyd	Polq	
Tmem177	Gm37588	Arhgap30	Gm19434	Diras2	Cadm1	Pla2g12b	Cip2a	
Tmem37	Gm37868	B930036N10Rik	Pde6h	A930015P04Rik	Tmprss5	Slc5a4b	Chaf1b	
3110009E18Rik	Gm37407	Cd48	Gm6929	Fam169a	Ncam1	Ces1f	Pkmyt1	
Steap3	Gm6170	Cd84	Gm17826	Gm9828	Hspb2	Ces1g	Ccnf	
Ccdc93	Rpl31-ps9	Slamf6	1700058P15Rik	Rgs7bp	Cryab	Cadps	Chtf18	
Slc35f5	Gm15675	Copa	Gm44658	Osr1	Acsbg1	Pdzd3	Kifc5b	
Mgat5	Cd55	Dcaf8	Gm49396	Sntg2	Rasl12	Pirt	Kifc1	
Cxcr4	Gm37109	Pea15a	Gm37827	Gm1818	Car12	Ppp1r1b	Tcf19	
Pfkfb2	AA986860	Slamf9	Gm7224	Sptb	Tmod2	Slc16a5	Sgo1	
Yod1	Il19	Tagln2	Gm45669	Plekhh1	Scg3	Smim6	Chaf1a	
Gm37084	Dyrk3	Slamf8	Fut2	Gm3695	Col12a1	Akr1c19	Uhrf1	
Eif2d	Gm38262	Ifi209	Saa2	Gm2614	Sema3b	Slc17a4	Ndc80	
Ikbke	Gm37954	Ifi207	Mrgpra2a	D430019H16Rik	Plxnb1	Fbp1	2700099C18Rik	
Fam72a	Gm29488	Ifi204	Gm5776	Lbhd2	Ccdc13	Adcy2	Kif20a	
Ctse	Gm29487	Mndal	Gm44560	Gm9134	Dusp18	Cartpt	Cdc25c	
Rab7b	Pm20d1	Ifi211	Atp5l-ps1	Gdnf	Gal3st1	Rab3c	Ska1	
Slc41a1	Gm38067	Ifi203	Gm7551	Npr3	Camk2b	Hcn1	Lipg	
Rab29	6030442K20Rik	Ifi202b	Gm45715	1700084J12Rik	Nsg2	Sstr1	Cdca5	
Slc45a3	Tmem81	Ifi205	Gm20744	Gm49312	4930469K13Rik	Tmem30b	Pcna-ps2	
Mfsd4a	Gm29257	Fh1	Cemip	Rspo2	Rasgef1c	Anxa13	Incenp	
Cdk18	Pik3c2b	Cep170	Gm45162	Colec10	Shpk	Fam83f	Kif20b	
Nuak2	Gm26616	Adss	Gm37008	Gpr20	Aspa	Dnase1	Kif11	
Tmcc2	Gm37368	Desi2	Gm47248	Rhpn1	B230206L02Rik	Gm609	Cep55	
Dstyk	Optc	Cox20	Gm5900	Sult4a1	Ngfr	B3galt5	Hells	
Rbbp5	Fmod	Hnrnpu	Hpx	Pdzrn4	Srcin1	Tmprss2		
Plekha6	Gm38140	Ahctf1	3100003L05Rik	Gm15764	Cnp	Btnl4		
