genes	geneCluster
Nhs	0
Reps2	0
Txlng	0
Syap1	0
Ctps2	0
Car5b	0
Siah1b	0
Bmx	0
Pir	0
Piga	0
Gemin8	0
Ofd1	0
Trappc2	0
Tceanc	0
Tlr8	0
Prps2	0
Arhgap6	0
Gm15261	0
Hccs	0
Mid1	0
G530011O06Rik	0
Zfhx4	0
Gm8797	0
Pkia	0
Zc2hc1a	0
Il7	0
Stmn2	0
Hey1	0
Zbtb10	0
Zfp704	0
Pag1	0
Gm38335	0
Fabp4	0
Zfand1	0
Snx16	0
Lrrcc1	0
E2f5	0
Car13	0
Gm9733	0
Sirpb1a	0
Sirpb1b	0
Cyp7b1	0
Mtfr1	0
4632415L05Rik	0
Naaladl2	0
Tnfsf10	0
Pld1	0
Tnik	0
Eif5a2	0
Mecom	0
Mynn	0
Gpr160	0
Prkci	0
Zmat3	0
Mfn1	0
Gnb4	0
Mrpl47	0
Ccdc39	0
Gm43667	0
Mccc1	0
Acad9	0
D3Ertd254e	0
Exosc9	0
Bbs7	0
Trpc3	0
Cetn4	0
Fgf2	0
Nudt6	0
Spata5	0
Spry1	0
Ankrd50	0
Intu	0
Hspa4l	0
Mfsd8	0
Gm2011	0
Abhd18	0
6430590A07Rik	0
Larp1b	0
Sclt1	0
D3Ertd751e	0
Pabpc4l	0
Pcdh18	0
Slc7a11	0
Noct	0
Rab33b	0
Maml3	0
Gm37465	0
C130089K02Rik	0
Foxo1	0
Cog6	0
Lhfp	0
Gm42899	0
Nhlrc3	0
Proser1	0
Rfxap	0
Spg20	0
Dclk1	0
Nbea	0
Tm4sf1	0
Wwtr1	0
Pfn2	0
Siah2	0
Med12l	0
P2ry14	0
P2ry13	0
Igsf10	0
P2ry1	0
Arhgef26	0
E130311K13Rik	0
Slc33a1	0
Lekr1	0
Gm37305	0
Gfm1	0
Lxn	0
Schip1	0
Ift80	0
Ppm1l	0
B3galnt1	0
Nmd3	0
Serpini1	0
Golim4	0
Fnip2	0
Etfdh	0
Fam198b	0
Pdgfc	0
Gucy1b1	0
Gucy1a1	0
Map9	0
Plrg1	0
Tmem131l	0
Trim2	0
Arfip1	0
Tmem154	0
Gatb	0
Sh3d19	0
Lrba	0
Mab21l2	0
Cd1d1	0
Kirrel	0
Arhgef11	0
Pear1	0
Prcc	0
Rrnad1	0
Isg20l2	0
Nes	0
Gpatch4	0
Smg5	0
Pmf1	0
Slc25a44	0
Ubqln4	0
Khdc4	0
Gon4l	0
Msto1	0
Rusc1	0
Clk2	0
Gba	0
Thbs3	0
Efna1	0
Efna4	0
Zbtb7b	0
Gm15417	0
Flad1	0
Pygo2	0
Pmvk	0
Kcnn3	0
4632404H12Rik	0
She	0
Atp8b2	0
Rab13	0
Crtc2	0
Dennd4b	0
Ints3	0
Npr1	0
Snapin	0
S100a16	0
S100a8	0
S100a9	0
Tchh	0
Them4	0
Tdrkh	0
Mrpl9	0
Snx27	0
Pogz	0
Selenbp1	0
Rfx5	0
Pi4kb	0
Zfp687	0
Vps72	0
Scnm1	0
Lysmd1	0
Sema6c	0
Mllt11	0
Prune1	0
Setdb1	0
Ctsk	0
Golph3l	0
Adamtsl4	0
Tars2	0
Prpf3	0
Ciart	0
BC028528	0
Vps45	0
Otud7b	0
Mtmr11	0
Sv2a	0
Bola1	0
Hist2h2ac	0
Hist2h4	0
Polr3gl	0
Lix1l	0
Pex11b	0
Pias3	0
Polr3c	0
Gpr89	0
Acp6	0
Bcl9	0
Chd1l	0
Fmo5	0
Prkab2	0
Pde4dip	0
Phgdh	0
Zfp697	0
Wars2	0
Wdr3	0
Gdap2	0
Tent5c	0
Gm42869	0
Gm43462	0
Ttf2	0
Ptgfrn	0
Igsf3	0
Gm42937	0
Gm42941	0
Slc22a15	0
Vangl1	0
Ngf	0
Gm42679	0
Tspan2	0
Trim33	0
Olfml3	0
Dclre1b	0
Ap4b1	0
Phtf1	0
Magi3	0
Lrig2	0
Gm43696	0
4930509H03Rik	0
Rhoc	0
Mov10	0
Gm42659	0
St7l	0
Ddx20	0
Inka2	0
Gm43848	0
Gm43328	0
Gm43329	0
Gm5547	0
Adora3	0
I830077J02Rik	0
Wdr77	0
Rbm15	0
Strip1	0
4933431E20Rik	0
Gstm5	0
Gstm2	0
Gstm1	0
Gstm4	0
Ampd2	0
Amigo1	0
Cyb561d1	0
Atxn7l2	0
Tmem167b	0
Wdr47	0
Gpsm2	0
Fam102b	0
Prmt6	0
Rnpc3	0
S1pr1	0
A930005H10Rik	0
Dph5	0
Extl2	0
Cdc14a	0
Rtca	0
Dbt	0
Trmt13	0
Sass6	0
Slc35a3	0
Agl	0
Frrs1	0
Palmd	0
Snx7	0
Ptbp2	0
Rwdd3	0
Tmem56	0
Alg14	0
A530020G20Rik	0
Abcd3	0
Arhgap29	0
Fnbp1l	0
Pde5a	0
Fabp2	0
Usp53	0
Synpo2	0
Mettl14	0
Arsj	0
Ank2	0
Gm43322	0
Alpk1	0
Ap1ar	0
Enpep	0
Elovl6	0
Pla2g12a	0
Cyp2u1	0
Sgms2	0
Tbck	0
Gstcd	0
Ints12	0
Ppa2	0
Bdh2	0
Manba	0
Emcn	0
Mttp	0
Trmt10a	0
Adh1	0
Metap1	0
Tspan5	0
Kyat3	0
Gm43445	0
Clca3a1	0
Odf2l	0
Znhit6	0
Ccn1	0
Ddah1	0
2410004B18Rik	0
Syde2	0
Mcoln2	0
Ssx2ip	0
Ctbs	0
Rpf1	0
Adgrl2	0
Adgrl4	0
Dnajb4	0
Nexn	0
Gm43185	0
Miga1	0
Usp33	0
St6galnac3	0
Rabggtb	0
Tyw3	0
Cryz	0
Fpgt	0
Ptger3	0
Gm42611	0
Lrrc40	0
AI838599	0
Tmem68	0
Penk	0
Fam110b	0
Ubxn2b	0
Nsmaf	0
Car8	0
Gdf6	0
2610301B20Rik	0
Ndufaf6	0
Trp53inp1	0
Ints8	0
Dpy19l4	0
Gem	0
Tmem67	0
Rbm12b2	0
Rbm12b1	0
Fam92a	0
Triqk	0
Runx1t1	0
Pip4p2	0
Gm11837	0
Tmem64	0
Decr1	0
Nbn	0
Osgin2	0
Ripk2	0
Mmp16	0
Rmdn1	0
Ccnc	0
Tstd3	0
Usp45	0
Coq3	0
Fbxl4	0
Manea	0
Map3k7	0
Bach2	0
Mdn1	0
4933421O10Rik	0
Rngtt	0
Orc3	0
Rars2	0
Slc35a1	0
Smim8	0
Mob3b	0
C9orf72	0
Aco1	0
Smim27	0
Aptx	0
Aqp7	0
Aqp3	0
Nol6	0
Ubap2	0
Ubap1	0
Nudt2	0
AI464131	0
Fam219a	0
Enho	0
Cntfr	0
Il11ra1	0
Sigmar1	0
Galt	0
Ccl27a	0
Gm17167	0
Ccl21a	0
Dnajb5	0
Fancg	0
Pigo	0
Fam214b	0
Gm26881	0
Rusc2	0
Tesk1	0
Cd72	0
Tpm2	0
Gba2	0
Rgp1	0
Npr2	0
Tmem8b	0
Hrct1	0
Reck	0
Gne	0
Rnf38	0
Grhpr	0
Zbtb5	0
Polr1e	0
Fbxo10	0
Trmt10b	0
Dcaf10	0
Shb	0
Ccdc180	0
Tdrd7	0
Tmod1	0
Tstd2	0
Ncbp1	0
Trim14	0
Col15a1	0
Tgfbr1	0
Gm12430	0
Alg2	0
Nr4a3	0
Stx17	0
Invs	0
Tex10	0
Msantd3	0
Mrpl50	0
Zfp189	0
Tmem246	0
Fsd1l	0
Fktn	0
Tmem38b	0
Zfp462	0
Elp1	0
Ptpn3	0
Akap2	0
Svep1	0
Musk	0
Gm12577	0
Ptgr1	0
Dnajc25	0
Gng10	0
Susd1	0
Hsdl2	0
E130308A19Rik	0
Inip	0
Snx30	0
Zfp37	0
Prpf4	0
Hdhd3	0
Alad	0
Pole3	0
Rgs3	0
