genes	geneCluster
Matn2	7
Fabp7	7
Txndc16	7
Adam11	7
Sorbs2	7
Gfra1	7
Flrt3	7
Abca8a	7
Tgfb2	7
Pappa	7
Art3	7
Cd59a	7
Scd1	7
Col20a1	7
Hand2	7
Adam23	7
Gfra2	7
Abca8b	7
Atp1a2	7
Map1b	7
L1cam	7
Serpinf1	7
S1pr3	7
Plce1	7
Mt3	7
Ndrg1	7
Cadm1	7
Mest	7
Sema3b	7
Phlda3	7
Aspa	7
Col16a1	7
Nsg2	7
Plat	7
Slc35f1	7
Cdh2	7
Rnd3	7
Epb41l4b	7
Dmd	7
Bcar3	7
Hand2os1	7
Gjc3	7
Ngfr	7
Ltbp1	7
Tubb3	7
Lpar1	7
Itgb8	7
Arfgef3	7
1500009L16Rik	7
Plekhb1	7
Fads2	7
Olfml3	7
Lhfpl2	7
Tmod2	7
Syt11	7
Ttyh1	7
Ctnnal1	7
Erbb3	7
Pdzd2	7
Car12	7
Scd2	7
Lims2	7
Dtna	7
Tbx3	7
Rasgef1c	7
Piezo2	7
Limch1	7
Adgrg6	7
Cyp2j6	7
Nkd2	7
Tmem47	7
Cyp2j9	7
Mboat2	7
Galnt6	7
Cspg4	7
Lbh	7
Mfap3l	7
Nav2	7
Sorbs1	7
Pcgf2	7
Zrsr1	7
Edil3	7
Ldb2	7
Stard13	7
Slc22a23	7
Adamtsl5	7
Gpc1	7
Tspan15	7
Add3	7
Samd5	7
Hoxb3os	7
Arhgap42	7
5930430L01Rik	7
Ptprs	7
Ppp2r3a	7
Gab1	7
Afap1l2	7
Kcnj10	7
Fabp4	8
Ctla2a	8
Aqp1	8
Plvap	8
Cxcl12	8
Egfl7	8
Edn1	8
Ptprb	8
Gpihbp1	8
Gng11	8
Ebf1	8
Cdh5	8
Cav1	8
Ly6c1	8
Ly6a	8
Lrg1	8
Apold1	8
Col15a1	8
Cldn5	8
Pcdh17	8
2200002D01Rik	8
Jam2	8
Cavin2	8
Pecam1	8
Flt1	8
Cd36	8
Mmrn2	8
Kdr	8
Rgcc	8
Ecscr	8
Plpp3	8
Podxl	8
Emcn	8
Cd34	8
Tmem252	8
Epas1	8
Ramp2	8
Adgrf5	8
Fscn1	8
Tcim	8
Gna11	8
Ccnd1	8
Tcf15	8
Cyyr1	8
Scarb1	8
Id1	8
Ace	8
Adgrl4	8
Ltbp4	8
Esam	8
Sox17	8
Thbd	8
Sox18	8
Vwf	8
Rflnb	8
Aplnr	8
S1pr1	8
C1qtnf9	8
Myct1	8
Cd300lg	8
Ehd2	8
Vwa1	8
Cd93	8
Rai14	8
Mgll	8
Icam2	8
Tinagl1	8
Ets1	8
Cdh13	8
Mast4	8
Tspan7	8
Tspan18	8
Bcr	8
Grrp1	8
Prex2	8
Slc9a3r2	8
Mcam	8
Wwtr1	8
Ece1	8
Mecom	8
Crim1	8
Tie1	8
Sept4	8
Myo10	8
Rasip1	8
Dpysl3	8
Eng	8
Pdgfb	8
Tjp1	8
Meox1	8
Tek	8
Trp53i11	8
F11r	8
Robo4	8
Myo1b	8
Ablim1	8
Calcrl	8
Pxdn	8
Ptprg	8
Fam43a	8
Dock9	8
Itga6	8
Rtl8a	8
Cav2	8
Pls3	8
Uaca	8
Spns2	8
Sema6a	8
Plcb1	8
Pdlim1	8
Rasgrp3	8
Flnb	8
Afdn	8
Fzd4	8
Nrep	8
Ddah2	8
Tmem255b	8
Pcdh1	8
Plxnd1	8
Ccl8	9
Ccl7	9
Ccl12	9
Cxcl2	9
Rnase2a	9
Ccl2	9
Fn1	9
Cst3	9
Pf4	9
Thbs1	9
Arg1	9
Fabp5	9
Mgl2	9
Ccl6	9
Ccl24	9
S100a4	9
Prdx1	9
Capg	9
Mrc1	9
Ccl9	9
C1qa	9
Apoe	9
C1qb	9
Dbi	9
Mt1	9
Il1b	9
Wfdc17	9
Selenop	9
C1qc	9
Lgmn	9
Gda	9
Ctsl	9
Crip1	9
Tgm2	9
S100a6	9
Sdc4	9
Lyz2	9
Lgals3	9
Srgn	9
Cdkn1a	9
Bst2	9
Txn1	9
Dab2	9
Mdh2	9
Ifi27l2a	9
Cfp	9
Maf	9
Neat1	9
Anxa2	9
Plac8	9
Sod2	9
Fcgrt	9
Lgals1	9
H2-Aa	9
H2afz	9
Fth1	9
Gatm	9
H2-Eb1	9
Basp1	9
Hspa5	9
Tubb5	9
Ctsb	9
Cd74	9
Pycard	9
Ier3	9
Nfkbia	9
Tgfbi	9
Ctsd	9
Bsg	9
Cd14	9
Mafb	9
H2-Ab1	9
S100a10	9
Jun	9
Cycs	9
Trf	9
Ifitm3	9
Vim	9
Bcl2a1b	9
Kctd12	9
Lst1	9
Samhd1	9
Gapdh	9
Eno1	9
Slc15a3	9
Mif	9
Cstb	9
Atpif1	9
Cd52	9
Ldha	9
Hsp90b1	9
Psap	9
Manf	9
Gpx1	9
Pgam1	9
Dusp1	9
Zfp36l1	9
Ap2a2	9
Aprt	9
Pgk1	9
Ifi30	9
S100a11	9
Gm42418	9
Fos	9
Il4ra	9
Malat1	9
Snx6	9
Gm2a	9
Ctsc	9
Pim1	9
Tpi1	9
Fxyd5	9
P4hb	9
Ap2m1	9
Hist1h1b	10
Top2a	10
Pclaf	10
Mki67	10
Hist1h2ap	10
Hist1h2ae	10
Nusap1	10
Prc1	10
Birc5	10
Ube2c	10
Cenpf	10
Tpx2	10
Rrm2	10
Hist1h2ab	10
Ccnb2	10
Cenpe	10
Hist1h1d	10
Dut	10
Knl1	10
Kif11	10
Cdca8	10
Hist1h3e	10
Racgap1	10
H2afx	10
Diaph3	10
Ccna2	10
Hist2h2ac	10
Kif23	10
Smc2	10
Cdk1	10
Esco2	10
Anln	10
Lig1	10
Ckap2l	10
Cks2	10
Cdca3	10
Spc24	10
Cenpa	10
Tk1	10
Atad2	10
Plk1	10
Hist1h2ak	10
Kif15	10
Hist1h1a	10
Pbk	10
Hells	10
Mcm7	10
Aspm	10
Rad51	10
Ccne2	10
Bub1b	10
Clspn	10
Cdkn3	10
Tyms	10
Uhrf1	10
Hist2h2bb	10
Cdc20	10
Mcm6	10
Spc25	10
Cks1b	10
Sgo2a	10
Mcm5	10
Fbxo5	10
Aurkb	10
Smc4	10
Ndc80	10
