gene	cluster
si:dkey-204f11.64	5
msx2b	5
bhlhe40	5
nptx1l	5
slc22a2	5
lmo7a	5
drd3	5
bhlhe41	5
osbpl10b	5
nme4	5
pnp5a	5
s100w	5
gmps	5
si:dkey-21a6.5	5
gramd2aa	5
cxcl19	5
cotl1	5
si:dkey-188i13.9	5
spock3	5
anxa13l	5
gpm6ab	5
bace2	5
cst14b.1	5
zgc:110789	5
tdh	5
ckbb	5
tnfaip8l3	5
emp3b	5
agtrap	5
id2a	5
atp6v1g1	5
aldh2.2	5
tmem243b	5
cdh1	5
gatm	5
si:ch211-153b23.7	5
cavin1b	5
tuba8l	5
tuba8l3	5
CU467646.6	5
AL935199.1	5
si:ch211-71m22.3	5
slc24a5	5
pir	5
syngr2b	5
sik1	5
slc30a8	5
ldhba	5
hopx	5
tfap2a	5
naga	5
sypl2b	5
atp6v1ab	5
prnpb	5
hsd20b2	5
atp6v1c1b	5
gpd1c	5
si:dkeyp-118a3.2	5
rgs3a	5
arl6ip1	5
prkar1b	5
ndrg1a	5
tnfaip2a	5
si:dkey-28n18.9	5
ctsd	5
slc24a4a	5
ctsc	5
fabp3	5
sox21a	5
cd63	5
slc6a15	5
pcdh10a	5
ap3m2	5
marcksl1b	5
ehd2b	5
oxr1b	5
gsta.1	5
smyd1a	5
fxyd1	5
slc43a2a	5
zgc:175088	5
si:ch211-253b8.5	5
opn5	5
itpk1a	5
cst14a.2	5
si:ch211-161h7.8	5
cemip	5
zgc:77739	5
gpd1a	5
zdhhc2	5
si:ch73-389b16.1	5
mdh1aa	5
apoda.1	6
cart3	6
CR762483.1	6
ccl19a.1	6
cxcl8a	6
cldna	6
nppc	6
im:7152348	6
wu:fj16a03	6
nr2f1b	6
tfa	6
il11b	6
tnfrsf11b	6
mafbb	6
tac1	6
sox7	6
cldn5b	6
gcga	6
opcml	6
cyp1a	6
nkx2.2a	6
irf8	6
isg15	6
zgc:113886	6
fgfbp2a	6
si:dkey-27i16.2	6
pltp	6
nog1	6
cyp24a1	6
kazald2	6
adma	6
myoc	6
plin2	6
hamp	6
lrata	6
cd81b	6
srgn	6
cygb1	6
si:dkey-202e22.2	6
spp1	6
ccl44	6
tcf15	6
zgc:165461	6
sp8a	6
prcp	6
FO704741.1	6
mylpfb	6
cyp27c1	6
tmem88b	6
atp1b4	6
pdgfaa	6
ch25h	6
si:ch211-114n24.6	6
BX322618.1	6
si:ch211-195m9.3	6
arg2	6
aplnra	6
unc45b	6
slc1a2b	6
s100b	6
snai1b	6
fa2h	6
ntn5	6
grn1	6
si:dkey-83k24.5	6
apcdd1l	6
si:dkeyp-51f12.2	6
gata5	6
foxj1a	6
mmp17b	6
slc7a2	6
rbp7b	6
inhbb	6
vgll4l	6
slc6a1b	6
dab1a	6
sall1a	6
scinla	6
esm1	6
lenep	6
abcc2	6
bmp6	6
rsad2	6
stc1	6
shisa2a	6
tmtc2a	6
slco2b1	6
robo1	6
ifitm5	6
cacna1g	6
ccbe1	6
fabp10a	6
hmcn1	6
serpina1l	6
rbp2b	6
kcnq5b	6
pde5ab	6
adgre10	6
isl2b	6
dgkh	6
cdab	6
tgfbr3	6
kdrl	6
panx3	6
pcdh11.1	6
ccl35.1	6
pitx2	6
pcdh9	6
cnnm2b	6
nrg2a	6
kirrel3l	6
luzp1	6
bgna	6
itgb4	6
rspo1	6
esama	6
asic1b	6
vegfaa	6
si:ch211-214p16.3	6
entpd5a	6
rbpms2a	6
scube3	6
f3a	6
epas1b	6
plcg1	6
jam2b	6
hbbe1.3	6
hbae3	6
mao	6
fgfr1b	6
cldn5a	6
slco2a1	6
ncam2	6
cyp4t8	6
FO704661.1	6
shdb	6
col19a1.1	6
lef1	6
itga8	6
hmox1a	6
ackr3a	6
gfra1b	6
si:dkey-12j5.1	6
snap23.2	6
kalrnb	6
myzap	6
cspg4	6
ogfrl1	6
hspg2	6
prex2	6
sp7	6
slc4a4b	7
cart2	7
insl5a	7
cahz	7
apoa1a	7
pck1	7
mmel1	7
myh11a	7
unc5da	7
ush1c	7
cftr	7
tagapa	7
ak5	7
uncx4.1	7
si:ch211-71m22.1	7
sulf2a	7
csf1a	7
cald1b	7
lgals3bpb	7
gng13b	7
efemp2b	7
postna	7
npas4a	7
fli1b	7
fstl5	7
nrxn3a	7
zgc:193726	7
GALNTL6	7
KCNB2	7
clcn1b	7
ntm	7
aqp8a.1	7
anpepb	7
CR786577.1	7
phox2ba	7
plat	7
CR384075.1	7
si:dkey-112m2.1	7
kirrel3a	7
pvrl2l	7
znf804a	7
trpa1b	7
tinagl1	7
arhgap42b	7
si:ch211-240l19.8	7
si:dkey-71h2.2	7
plac8.2	7
si:ch211-145b13.5	7
kcnq5a	7
cnn1b	7
hao1	7
BX248331.2	7
nrg1	7
